구분,지역,시험종류,연도,회차,시험구분,임용기관,직렬,직류,직급,대상,선발,접수,합격선,원본파일명
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,세무,세무,7급,장애인,7,45,49.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,관세,관세,7급,장애인,2,10,50.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,통계,통계,7급,장애인,1,6,70.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,감사,감사,7급,장애인,2,38,48.00,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,공업,일반기계,7급,장애인,2,3,70.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,공업,전기,7급,장애인,1,4,62.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,공업,화공,7급,장애인,1,1,,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,시설,일반토목,7급,장애인,3,1,,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,시설,건축,7급,장애인,1,3,74.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,방재안전,방재안전,7급,장애인,1,1,45.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
