지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
서울,공무원,2024,1회,공개경쟁,,기술직군,시설,건축,9급,저소득층,6,24,8,4.0:1,22,8,91.7,3.7:1,1,0,58,,,1,0,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설관리,기계시설,9급,일반,36,320,55,8.9:1,163,30,50.9,4.5:1,53,6,68.33,,,38,3,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설관리,기계시설,9급,장애인,3,14,3,4.7:1,10,3,71.4,3.3:1,2,1,43.33,,,2,1,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설관리,기계시설,9급,저소득층,5,24,5,4.8:1,14,3,58.3,2.8:1,4,0,61.33,,,4,0,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설관리,전기시설,9급,일반,30,315,40,10.5:1,171,20,54.3,5.7:1,49,5,75,여,73.33,31,5,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설관리,전기시설,9급,장애인,2,8,1,4.0:1,4,0,50.0,2.0:1,1,0,54.67,,,1,0,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설관리,전기시설,9급,저소득층,4,13,3,3.3:1,6,0,46.2,1.5:1,2,0,71.67,,,2,0,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,경력경쟁,,기술직군,운전,운전,9급,굴착기,5,186,3,37.2:1,98,1,52.7,19.6:1,9,0,72.5,,,2,0,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,경력경쟁,,연구직군,학예연구,학예일반,연구사,한국고고학,1,159,107,159.0:1,81,51,50.9,81.0:1,5,2,73.33,,,1,0,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,경력경쟁,,연구직군,보건연구,의학,연구사,일반,4,84,68,21.0:1,54,41,64.3,13.5:1,6,5,73.33,,,4,3,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,행정,일반행정,9급,일반,456,10315,6474,22.6:1,7017,4485,68.0,15.4:1,540,356,88,,,492,331,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,행정,일반행정,9급,지방의회,14,379,208,27.1:1,183,106,48.3,13.1:1,18,9,90,,,16,8,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,행정,일반행정,9급,장애인,27,224,83,8.3:1,154,61,68.8,5.7:1,28,13,47,,,25,11,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,행정,일반행정,9급,저소득층,54,365,204,6.8:1,242,145,66.3,4.5:1,70,45,70,,,59,38,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
