지역,연도,회차,임용기관,직군,직렬,직류,대상,선발,접수,응시,합격선,원본파일명,중복그룹
부산,2023,2회,,행정직군,행정,일반행정,일반,7,1539,830,95.00,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf,
부산,2023,,,행정직군,행정,일반행정,일반,7,1539,830,95.00,부산 7급 응시율/합격선 병합,
서울,2023,2회,,행정직군,행정,감사,일반,2,226,86,90,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,2023,2회,,행정직군,감사,감사,일반,2,226,86,90,서울 7급 현황+합격선 병합,
세종,2023,2회,,행정직군,행정,일반행정,일반,10,327,203,90.00,세종 7급 응시현황+합격선 병합,
인천,2023,1회,인천광역시,,행정,일반행정,일반,5,695,413,93,2023년도 인천광역시 7급 필기시험 합격자 통계자료(공개용).pdf,
인천,2023,1회,인천광역시,,시설,일반토목,일반,1,28,11,60,2023년도 인천광역시 7급 필기시험 합격자 통계자료(공개용).pdf,
인천,2023,1회,인천광역시,,시설,건축,일반,1,16,6,,2023년도 인천광역시 7급 필기시험 합격자 통계자료(공개용).pdf,
인천,2023,2회,인천광역시,행정직군,행정,일반행정,일반,5,695,413,93,인천 7급 통계자료(합격선=평균),
인천,2023,2회,인천광역시,기술직군,시설,일반토목,일반,1,28,11,60,인천 7급 통계자료(합격선=평균),
인천,2023,2회,인천광역시,기술직군,시설,건축,일반,1,16,6,,인천 7급 통계자료(합격선=평균),
전남,2023,4회,도일괄,행정직군,행정,일반행정,일반,19,982,,90,전남 7급 행정(일반행정) 도일괄,
전북,2023,4회,전라북도,행정직군,행정,일반행정,일반,5,470,241,93.00,전북 7급 시·군별 응시현황+합격선 병합,
전북,2023,4회,전주시,행정직군,행정,일반행정,일반,4,239,128,88.00,전북 7급 시·군별 응시현황+합격선 병합,
충남,2023,2회,충청남도,행정직군,행정,일반행정,일반,5,532,282,92.0,충남 7급 행정(일반행정) 응시현황+합격선,
충북,2023,3회,충청북도,행정직군,행정,일반행정,일반,2,254,121,94.00,충북 7급 행정(일반행정) 응시현황+합격선,
충북,2023,3회,청주시,행정직군,행정,일반행정,일반,2,231,148,93.00,충북 7급 행정(일반행정) 응시현황+합격선,
강원,2024,2회,도,행정직군,행정,일반행정,일반,2,237,96,94.00,2024년도 강원특별자치도 지방공무원 7급 필기시험 합격선.pdf,
강원,2024,2회,양구군,행정직군,행정,일반행정,일반,1,2,2,,2024년도 강원특별자치도 지방공무원 7급 필기시험 합격선.pdf,
경기,2024,2회,경기도,행정직군,행정,일반행정,일반,5,1211,614,92,2024년도 경기도 지방공무원 7급 필기시험 합격선.pdf,
경기,2024,2회,경기도,행정직군,행정,일반행정,장애인,3,61,27,76,2024년도 경기도 지방공무원 7급 필기시험 합격선.pdf,
경기,2024,2회,경기도,기술직군,농업,축산,일반,4,92,43,86,2024년도 경기도 지방공무원 7급 필기시험 합격선.pdf,
경남,2024,2회,창원시,행정직군,행정,일반행정,일반,2,481,226,95.00,경남 7급 응시율+합격선 병합(창원시 일반행정),
경북,2024,2회,경북도,행정직군,행정,일반행정,일반,4,278,143,92,2024년도 경북 지방직 7급 합격선.pdf,
경북,2024,2회,경주시,행정직군,행정,일반행정,일반,1,74,30,93,2024년도 경북 지방직 7급 합격선.pdf,
경북,2024,2회,김천시,행정직군,행정,일반행정,일반,1,35,18,83,2024년도 경북 지방직 7급 합격선.pdf,
경북,2024,2회,안동시,행정직군,행정,일반행정,일반,1,62,36,83,2024년도 경북 지방직 7급 합격선.pdf,
경북,2024,2회,구미시,행정직군,행정,일반행정,일반,1,108,59,93,2024년도 경북 지방직 7급 합격선.pdf,
경북,2024,2회,영천시,행정직군,행정,일반행정,일반,1,64,31,92,2024년도 경북 지방직 7급 합격선.pdf,
경북,2024,2회,상주시,행정직군,행정,일반행정,일반,1,41,21,83,2024년도 경북 지방직 7급 합격선.pdf,
경북,2024,2회,문경시,행정직군,행정,일반행정,일반,1,25,15,90,2024년도 경북 지방직 7급 합격선.pdf,
경북,2024,2회,의성군,행정직군,행정,일반행정,일반,1,57,28,89,2024년도 경북 지방직 7급 합격선.pdf,
경북,2024,2회,청도군,행정직군,행정,일반행정,일반,1,36,11,83,2024년도 경북 지방직 7급 합격선.pdf,
경북,2024,2회,예천군,행정직군,행정,일반행정,일반,1,52,25,85,2024년도 경북 지방직 7급 합격선.pdf,
경북,2024,2회,청송군,행정직군,행정,일반행정,장애인,1,1,,,2024년도 경북 지방직 7급 합격선.pdf,
